"","x"
"0",0.010687
"1",0.000812
"2",0.000504
"3",0.000356
"4",0.00026
"5",0.000223
"6",0.000213
"7",0.000197
"8",0.000192
"9",0.000167
"10",0.000158
"11",0.000151
"12",0.000168
"13",0.000193
"14",0.00026
"15",0.000316
"16",0.00042
"17",0.00043
"18",0.000464
"19",0.000447
"20",0.000444
"21",0.000498
"22",0.000506
"23",0.00046
"24",0.000499
"25",0.000519
"26",0.000557
"27",0.000539
"28",0.000611
"29",0.000628
"30",0.000667
"31",0.000696
"32",0.000754
"33",0.000828
"34",0.000925
"35",0.00107
"36",0.001135
"37",0.00119
"38",0.001328
"39",0.00162
"40",0.002046
"41",0.00209285613252556
"42",0.00210185570432774
"43",0.00216140221653857
"44",0.00224455245470682
"45",0.00231799226513823
"46",0.00242919485387712
"47",0.00252209139907099
"48",0.00261184326279897
"49",0.00281630766806536
"50",0.00294512193628007
"51",0.00309398976946523
"52",0.00321351363708928
"53",0.0033624062182477
"54",0.00352495283276143
"55",0.00368026624968306
"56",0.00384353391951381
"57",0.00409432737284719
"58",0.00419721332267541
"59",0.00458682611151973
"60",0.00480930142704727
"61",0.00516990991516974
"62",0.00536321795134116
"63",0.00584835268165835
"64",0.00635720240807459
"65",0.00669742008216
"66",0.00730568300009095
"67",0.0078729224248754
"68",0.00847546108674432
"69",0.0093188398075455
"70",0.00994312006795136
"71",0.0110791604741412
"72",0.0117458820383577
"73",0.0128110209756272
"74",0.0141939377313912
"75",0.0151501971552415
"76",0.0166112329836405
"77",0.0183976013100589
"78",0.020181637182347
"79",0.0219280359204569
"80",0.0230834964687279
